case_id	case_family	label	vuln_type	input_mode	experiment_line	system_id	system_mode	target_hit	fixed_guard_explained	off_target	cost	failure_mode_primary	failure_mode_secondary	conclusion	evidence_ref
PT-PY-FILE-001	PT-PY-FILE	vulnerable	path_traversal	file	openant_learning	openant	round1_stage2_confirmed	true	not_applicable	false	stage1_results=2; stage2_confirmed=1			Narrow file PT case recovered the benchmark anchor and survived Stage2 verification.	reports/systems/openant/registries/openant_case_matrix.csv
PT-PY-REPO-001	PT-PY-REPO	vulnerable	path_traversal	repo	openant_learning	openant	round1_stage1_anchor_hit	true	not_applicable	false	stage1_results=3; stage1_vulnerable=2; stage2=not_selected			Repo PT case hit the benchmark anchor in Stage1 and remained one of the clearest target-aligned OpenAnt positives.	reports/systems/openant/registries/openant_case_matrix.csv
PT-PY-REPO-002	PT-PY-REPO	near_miss	path_traversal	repo	openant_learning	openant	round1_stage2_needs_review	false	false	true	stage1_results=3; stage2_confirmed=0; stage2_review=1	off_target_broad_scan	differential_guard_unresolved	Near-miss remained off-target; Stage2 pruned noise but did not re-anchor to the benchmark guard logic.	reports/systems/openant/registries/openant_case_matrix.csv
SSRF-PY-REPO-001	SSRF-PY-REPO	vulnerable	ssrf	repo	openant_learning	openant	round1_stage1_offtarget_vuln	false	not_applicable	true	stage1_results=2; stage1_vulnerable=2	target_framing_limit		OpenAnt surfaced a real SSRF-like signal, but the primary finding did not align to the benchmark anchor.	reports/systems/openant/registries/openant_case_matrix.csv
SSRF-PY-REPO-002	SSRF-PY-REPO	near_miss	ssrf	repo	openant_learning	openant	round1_stage1_clean_negative	true	false	false	stage1_results=2; stage1_vulnerable=0			Stage1 stayed SAFE on the near-miss SSRF case, making this the cleanest negative behavior in the round1 set.	reports/systems/openant/registries/openant_case_matrix.csv
SSTI-PY-REPO-001	SSTI-PY-REPO	vulnerable	ssti	repo	openant_learning	openant	round1_stage2_confirmed_offtarget	false	not_applicable	true	stage1_results=2; stage2_confirmed=1	target_framing_limit		Stage2 confirmed a real issue, but it remained anchored on an off-target debug finding rather than the benchmark SSTI path.	reports/systems/openant/registries/openant_case_matrix.csv
SSRF-PY-REPO-CVE-2025-2828-VULN	SSRF-PY-REPO-CVE-2025-2828	vulnerable	ssrf	repo	openant_learning	openant	round1_large_repo_stage1	false	not_applicable	true	stage1_units=575; vulnerable_like=94; stage2=reserved	target_framing_limit	off_target_broad_scan	Large-repo scan found many SSRF-adjacent risks but did not stabilize on the benchmark target anchor.	reports/systems/openant/registries/openant_case_matrix.csv
SSTI-PY-REPO-CVE-2024-45053-FIXED	SSTI-PY-REPO-CVE-2024-45053	near_miss	ssti	repo	openant_learning	openant	round1_stage2_mixed	false	false	true	stage1_units=595; confirmed=13; review=29	off_target_broad_scan	differential_guard_unresolved	Fixed-side case still produced many confirmed off-target findings; verify did not recover target-local guard semantics.	reports/systems/openant/registries/openant_case_matrix.csv
A-synthetic-PT-PY-FILE-001	PT-PY-FILE	vulnerable	path_traversal	file	deepaudit_boundary	deepaudit	A_instant_analysis	true	not_applicable	false	time=35.8s; findings=5			Clearest current upper bound for DeepAudit's base vulnerability semantics on a synthetic file case.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
A-synthetic-SSRF-PY-FILE-001	SSRF-PY-FILE	vulnerable	ssrf	file	deepaudit_boundary	deepaudit	A_instant_analysis	true	not_applicable	false	time=44.0s; findings=7			Synthetic SSRF file case shows the same fast upper-bound behavior: target finding lands first and returns within a single instant-analysis cycle.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
B-synthetic-PT-PY-FILE-001-mini-repo	PT-PY-FILE	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	B_synthetic_mini_repo	partial	not_applicable	partial	tokens=64501; time=202s; tool_calls=4	target_framing_limit		Minimal repo wrapping preserved PT intuition but introduced endpoint/line drift, so this is not yet a clean repo-facing benchmark hit.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
B-real-world-PT-PY-REPO-CVE-2024-32982-VULN	PT-PY-REPO-CVE-2024-32982	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	B_real_world_trimmed_repo	true	not_applicable	false	tokens=174056; time=443s; tool_calls=16			Trimmed real-world repo structure was enough to recover the Litestar PT target, but the workflow remained too expensive to count as a clean default operating point.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
C-synthetic-PT-PY-REPO-001	PT-PY-REPO	vulnerable	path_traversal	repo	deepaudit_boundary	deepaudit	C_synthetic_target_files	true	not_applicable	partial	tokens=255182; time=347s; tool_calls=15	target_framing_limit		Explicit target-files narrowing stabilized the synthetic PT repo case, but the first finding still framed the issue at the entry layer rather than as the best target summary.	artifacts/deepaudit_boundary_expansion/20260702T013845Z/boundary_matrix.tsv
